iter	Passed	Remaining
0	2	491
1	4	466
2	10	675
3	12	620
4	14	581
5	17	550
6	19	530
7	21	50588	23	498
9	25	492
10	28	495
11	31	489
12	33	478
13	37	497
14	39	488
15	41	480
16	45	486
17	47	478
18	49	468
19	51	461
20	54	464
21	56	457
22	58	452
23	60	445
24	63	441
25	65	439
26	67	434
27	69	429
28	72	424
29	74	421
30	76	416
31	78	412
32	89	452
33	91	448
34	94	444
35	96	439
36	98	433
37	100	430
38	102	424
39	105	420
40	106	414
41	109	410
42	111	405
43	113	402
44	115	397
45	117	394
46	119	389
47	122	386
48	124	382
49	126	379
50	128	376
51	131	373
52	133	369
53	135	365
54	137	362
55	139	359
56	142	356
57	144	352
58	146	349
59	148	346
60	150	342
61	152	339
62	154	336
63	162	345
64	166	345
65	168	342
66	171	339
67	173	336
68	175	333
69	177	329
70	179	326
71	181	322
72	183	319
73	185	316
74	188	313
75	189	309
76	191	306
77	193	303
78	195	300
79	198	297
80	200	294
81	202	291
82	204	288
83	206	285
84	208	282
85	210	278
86	212	276
87	214	273
88	217	270
89	219	267
90	221	265
91	223	262
92	225	259
93	227	256
94	229	253
95	231	250
96	233	248
97	235	245
98	237	242
99	239	239
100	241	236
101	243	234
102	245	231
103	248	229
104	250	226
105	252	224
106	254	221
107	257	218
108	259	216
109	261	213
110	263	211
111	265	208
112	267	206
113	269	203
114	271	200
115	273	198
116	275	195
117	277	193
118	279	190
119	281	187
120	283	185
121	285	182
122	287	179
123	289	177
124	291	175
125	293	172
126	295	170
127	297	167
128	299	164
129	301	162
130	304	160
131	306	157
132	308	155
133	310	152
134	312	150
135	314	148
136	317	145
137	319	143
138	320	140
139	323	138
140	325	136
141	327	133
142	329	131
143	331	128
144	333	126
145	335	124
146	337	121
147	339	119
148	341	116
149	343	114
150	346	112
151	348	109
152	350	107
153	352	105
154	354	103
155	356	100
156	359	98
157	361	96
158	363	93
159	365	91
160	367	89
161	369	86
162	371	84
163	373	81
164	375	79
165	377	77
166	379	75
167	381	72
168	384	70
169	386	68
170	388	65
171	390	63
172	392	61
173	394	58
174	396	56
175	398	54
176	400	51
177	402	49
178	404	47
179	406	45
180	407	42
181	410	40
182	412	38
183	414	36
184	416	33
185	418	31
186	420	29
187	422	26
188	424	24
189	426	22
190	428	20
191	430	17
192	432	15
193	433	13
194	435	11
195	437	8
196	438	6
197	440	4
198	442	2
199	444	0
